Symbol,Name,Industry,Sector,Market Cap,P/E ttm,Price/Book,ROA%,ROE%,Debt/Equity,Price/Cash Flow,Ent Value,EBITDA(a),EBIT(a),Shares Out,Net Income(a),Beta,% Insider,% Institutional,Sales(a),Float,% Float,Price/Sales,Earnings Date,Latest Earnings
A,Agilent Technologies,Medical Products,Medical,34138932000,22.29,5.57,13.24%,25.92%,0.55,19.25,36154932000,1674000000,1417000000,284065000,1289000000,1.23,0.26%,87.42%,N/L,N/L,N/L,N/L,N/L,2025-08-27
AA,Alcoa Corp,Metal Products - Distribution,Basic Materials,7984538000,7.68,1.34,7.44%,19.27%,0.43,8.78,9391538000,2726000000,2084000000,258902000,60000000,2.25,1.08%,82.39%,N/L,N/L,N/L,N/L,N/L,2025-07-16
AACT,Ares Acquisition Corporation II Cl A,Unclassified,N/A,708297000,0,N/A,4.12%,-101.04%,0,27.42,707317000,-4020000,-4020000,61860000,25990000,-0.01,N/A,72.95%,N/L,N/L,N/L,N/L,N/L,2025-08-21
AAL,American Airlines Gp,Transportation - Airline,Transportation,7584388000,7.54,N/A,1.69%,-23.75%,-6.53,2.09,36524388000,6506000000,4261000000,659512000,846000000,1.36,0.57%,52.44%,N/L,N/L,N/L,N/L,N/L,2025-07-24
AAOI,Applied Optoelect,Electronics - Semiconductors,Computers and Technology,1506909000,0,4.64,-7.40%,-15.39%,0.01,N/A,1432089000,-36120000,-58200000,55544000,-186730000,2.78,4.50%,61.72%,N/L,N/L,N/L,N/L,N/L,2025-08-07
AAON,Aaon Inc,Building Prdcts - Air Heating,Construction,6783483000,40.4,7.74,14.23%,20.23%,0.29,27.219999,6915863000,260340000,197260000,81366000,168560000,0.95,18.70%,70.81%,N/L,N/L,N/L,N/L,N/L,2025-08-10
AAP,Advance Auto Parts Inc,Retail - Wholesale Auto Parts,Retail-Wholesale,3516457000,0,1.62,-0.37%,-1.76%,0.81,12.98,3436197000,-329450000,-621430000,59926000,-335790000,1.04,0.35%,88.75%,N/L,N/L,N/L,N/L,N/L,2025-08-14
AAPL,Apple Inc,Computer - Micro,Computers and Technology,3194474560000,30.15,47.799999,31.35%,167.24%,1.47,27.99,3961334400000,138809000000,127364000000,14935826000,93736000000,1.2,0.06%,67.73%,N/L,N/L,N/L,N/L,N/L,2025-07-31
AB,Alliancebernstein Holding LP,Finance - Investment Mgmt,Finance,4746816000,12.65,2.39,18.62%,18.63%,0,12.75,4746816000,0,0,110700000,423370000,0.82,2.70%,19.25%,N/L,N/L,N/L,N/L,N/L,2025-07-24
ABAT,American Battery Technology Co.,Electronics Products - Misc,Computers and Technology,289900000,0,4.35,-60.49%,-74.43%,0,N/A,282900000,-49870000,-55840000,91886000,-52500000,-2.23,5.24%,9.88%,N/L,N/L,N/L,N/L,N/L,2025-02-12
ABBV,Abbvie Inc,Large Cap Pharma,Medical,336111168000,18.58,230.899994,13.11%,412.03%,47.8,12.78,397731168000,18451000000,10065000000,1766403000,4278000000,0.48,0.25%,70.23%,N/L,N/L,N/L,N/L,N/L,2025-07-31
ABCL,Abcellera Biologics Inc,Medical - Biomedical,Medical,1524947000,0,1.46,-12.38%,-15.98%,0,N/A,1343617000,-134190000,-231190000,298424000,-162860000,0.62,28.90%,61.42%,N/L,N/L,N/L,N/L,N/L,2025-08-07
ABNB,Airbnb Inc Cl A,Leisure & Recreation Services,Consumer Discretionary,88518416000,35.76,11.18,10.74%,30.91%,0.25,33.299999,83649416000,2555000000,2490000000,626413000,2648000000,1.13,27.91%,80.76%,N/L,N/L,N/L,N/L,N/L,2025-08-06
ABR,Arbor Realty Trust,REIT - Mortgage Trusts,Finance,2321293000,8.01,0.93,2.44%,13.29%,1.53,4.9,8373013000,357300000,280030000,192160000,264640000,1.37,3.80%,57.25%,N/L,N/L,N/L,N/L,N/L,2025-07-21
ABSI,Absci Corp,Medical - Biomedical,Medical,368646000,0,2.25,-45.89%,-53.69%,0.02,N/A,315476000,-86690000,-100080000,127559000,-103110000,2.01,10.49%,52.05%,N/L,N/L,N/L,N/L,N/L,2025-08-13
ABT,Abbott Laboratories,Medical Products,Medical,220158864000,25.64,4.46,10.88%,18.83%,0.27,19.08,226667872000,12508000000,9290000000,1739836000,13402000000,0.73,0.46%,75.18%,N/L,N/L,N/L,N/L,N/L,2025-07-17
ACAD,Acadia Pharmaceutica,Medical - Biomedical,Medical,3891166000,33.9,5.04,10.75%,17.46%,0,32.700001,3571576000,94940000,88360000,167362000,226450000,0.64,26.50%,96.71%,N/L,N/L,N/L,N/L,N/L,2025-08-06
ACB,Aurora Cannabis Inc,Medical Products,Medical,272231000,80.17,0.62,0.10%,0.13%,0.1,7.87,183381000,29020000,10080000,56246000,1630000,1.75,0.01%,47.63%,N/L,N/L,N/L,N/L,N/L,2025-08-06
ACGL,Arch Capital Grp Ltd,Insurance - Proprty & Casualty,Finance,33311972000,10.53,1.6,4.54%,15.79%,0.15,8.67,36071972000,4609000000,4374000000,374755000,4312000000,0.51,4.20%,89.07%,N/L,N/L,N/L,N/L,N/L,2025-07-29
